Название товара;Доступность;Цена;Цена старая;Хлебные крошки;Регион;Сслыка на товар;Ссылки на картинки
Childs Play LVY022 Пожарная машина;True;3449;;Главная - Каталог продукции - Транспорт - Спецтехника  - Childs Play LVY022 Пожарная машина;Ростов-на-Дону;https://www.toy.ru/catalog/toys-spetstekhnika/childs_play_lvy022_pozharnaya_mashina/;https://cdn.toy.ru/upload/iblock/a32/3.jpg?_cvc=1650080446, https://cdn.toy.ru/upload/iblock/02b/1.jpg?_cvc=1650080446, https://cdn.toy.ru/upload/iblock/86e/2.jpg?_cvc=1650080446, https://cdn.toy.ru/upload/iblock/f23/4.jpg?_cvc=1650080446, https://cdn.toy.ru/upload/iblock/684/5.jpg?_cvc=1650080446, https://cdn.toy.ru/upload/iblock/87b/7.jpg?_cvc=1650080446
Welly 42387A Велли Модель машины 1:34-39 ГАЗель пассажирская;True;579;;Главная - Каталог продукции - Транспорт - Коллекционные машинки - Модели российских автомобилей - Welly 42387A Велли Модель машины 1:34-39 ГАЗель пассажирская;Ростов-на-Дону;https://www.toy.ru/catalog/modeli_otechestvennykh_mashin/welly_42387a_velli_model_mashiny_1_34_39_gazel_passazhirskaya/;https://cdn.toy.ru/upload/iblock/c64/8d30377d_e5b0_11df_9723_00210091c2bb.jpeg?_cvc=1650080446
Mattel Hot Wheels GWN97 Хот Вилс Коллекционные машинки в мотивационном наборе;True;2599;;Главная - Каталог продукции - Транспорт - Коллекционные машинки - Коллекционные машинки - Mattel Hot Wheels GWN97 Хот Вилс Коллекционные машинки в мотивационном наборе;Ростов-на-Дону;https://www.toy.ru/catalog/modeli_mashin/mattel_hot_wheels_gwn97_khot_vils_kollektsionnye_mashinki_v_motivatsionnom_nabore/;https://cdn.toy.ru/upload/iblock/c91/1.jpg?_cvc=1650080446, https://cdn.toy.ru/upload/iblock/d89/2.jpg?_cvc=1650080446, https://cdn.toy.ru/upload/iblock/45b/3.jpg?_cvc=1650080446, https://cdn.toy.ru/upload/iblock/42d/4.jpg?_cvc=1650080446, https://cdn.toy.ru/upload/iblock/17b/5.jpg?_cvc=1650080446, https://cdn.toy.ru/upload/iblock/e7e/6.jpg?_cvc=1650080446
Welly 99930C Велли Модель автобуса 1:60-64 London Bus открытый;True;439;539;Главная - Каталог продукции - Транспорт - Коллекционные машинки - Коллекционные машинки - Welly 99930C Велли Модель автобуса 1:60-64 London Bus открытый;Ростов-на-Дону;https://www.toy.ru/catalog/modeli_mashin/welly_99930c_velli_model_avtobusa_1_60_64_london_bus_otkrytyy/;https://cdn.toy.ru/upload/iblock/3b2/cqjo61aw8aixfbf.gif?_cvc=1650080446, https://cdn.toy.ru/upload/iblock/40b/image_34660.gif?_cvc=1650080446
Welly 43711 Велли Модель винтажной машины 1:34-39 Oldsmobile 442 1968;True;389;;Главная - Каталог продукции - Транспорт - Коллекционные машинки - Коллекционные машинки - Welly 43711 Велли Модель винтажной машины 1:34-39 Oldsmobile 442 1968;Ростов-на-Дону;https://www.toy.ru/catalog/modeli_mashin/welly_43711_velli_model_vintazhnoy_mashiny_1_34_39_oldsmobile_442_1968/;https://cdn.toy.ru/upload/iblock/133/43711.jpg?_cvc=1650080446
Welly 12856P Велли Модель мотоцикла 1:18 YAMAHA YZF-R6;True;759;;Главная - Каталог продукции - Транспорт - Коллекционные машинки - Модели мотоциклов - Welly 12856P Велли Модель мотоцикла 1:18 YAMAHA YZF-R6;Ростов-на-Дону;https://www.toy.ru/catalog/modeli_mototsiklov/welly_12856p_velli_model_mototsikla_1_18_yamaha_yzf_r6/;https://cdn.toy.ru/upload/iblock/57a/12856p.jpg?_cvc=1650080446
Welly 43645RY Велли модель машины 1:34-39 LADA PRIORA RALLY;True;459;;Главная - Каталог продукции - Транспорт - Коллекционные машинки - Коллекционные машинки - Welly 43645RY Велли модель машины 1:34-39 LADA PRIORA RALLY;Ростов-на-Дону;https://www.toy.ru/catalog/modeli_mashin/welly_43645ry_velli_model_mashiny_1_34_39_lada_priora_rally/;https://cdn.toy.ru/upload/iblock/98f/ad4032d2_4ae2_11e4_8e22_00155d09850f.jpeg?_cvc=1650080446
Welly 43630 Велли Модель машины 1:34-39 Toyota Land Cruiser Prado;True;439;;Главная - Каталог продукции - Транспорт - Коллекционные машинки - Коллекционные машинки - Welly 43630 Велли Модель машины 1:34-39 Toyota Land Cruiser Prado;Ростов-на-Дону;https://www.toy.ru/catalog/modeli_mashin/welly_43630_velli_model_mashiny_1_34_39_toyota_land_cruiser_prado/;https://cdn.toy.ru/upload/iblock/da6/i-_12_.jpg?_cvc=1650080446, https://cdn.toy.ru/upload/iblock/44a/i_11_.gif?_cvc=1650080446
Welly 43788 Велли Модель машины 1:34-39 JEEP GLADIATOR;True;439;;Главная - Каталог продукции - Транспорт - Коллекционные машинки - Коллекционные машинки - Welly 43788 Велли Модель машины 1:34-39 JEEP GLADIATOR;Ростов-на-Дону;https://www.toy.ru/catalog/modeli_mashin/welly_43788_velli_model_mashiny_1_34_39_jeep_gladiator/;https://cdn.toy.ru/upload/iblock/62c/43788.jpg?_cvc=1650080446
Welly 12806P Велли Модель мотоцикла 1:18 Yamaha YZF-R1;True;599;;Главная - Каталог продукции - Транспорт - Коллекционные машинки - Модели мотоциклов - Welly 12806P Велли Модель мотоцикла 1:18 Yamaha YZF-R1;Ростов-на-Дону;https://www.toy.ru/catalog/modeli_mototsiklov/welly_12806p_velli_model_mototsikla_1_18_yamaha_yzf_r1_/;https://cdn.toy.ru/upload/iblock/8b2/be39a3e5_aa74_11e3_968d_002655824cb6.jpeg?_cvc=1650080446, https://cdn.toy.ru/upload/iblock/61f/12806p.jpg?_cvc=1650080446
